seat (reclinig),seat (compartment),seat ,couchette (4-berth),couchette (6-berth),capsule (seat/bed),capsule (bed),Sleeper (2-berth) with shower & WC,Sleeper (double) with shower & WC,Sleeper (3-berth) with shower & WC,Sleeper (2-berth),Sleeper (3-berth)
seat (reclinig),seat (compartment),seat ,couchette (4-berth),couchette (6-berth),capsule (seat/bed),capsule (bed),Sleeper (2-berth) with shower & WC,Sleeper (double) with shower & WC,Sleeper (3-berth) with shower & WC,Sleeper (2-berth),Sleeper (3-berth)
Seat,Seat,Seat,Couchette,Couchette,Capsule,Capsule,Sleeper,Sleeper,Sleeper,Sleeper,Sleeper
