Nom de la gare;Code UIC;Code postal;Direction Régionale Gares;Segmentation DRG;Segmentation Marketing;% Non Voyageurs;Total Voyageurs 2024;Total Voyageurs + Non voyageurs 2024;Total Voyageurs 2023;Total Voyageurs + Non voyageurs 2023;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015;CO2_evite_t_2015;Vies_sauvees_stat_2015;CO2_evite_t_2016;Vies_sauvees_stat_2016;CO2_evite_t_2017;Vies_sauvees_stat_2017;CO2_evite_t_2018;Vies_sauvees_stat_2018;CO2_evite_t_2019;Vies_sauvees_stat_2019;CO2_evite_t_2020;Vies_sauvees_stat_2020;CO2_evite_t_2021;Vies_sauvees_stat_2021;CO2_evite_t_2022;Vies_sauvees_stat_2022;CO2_evite_t_2023;Vies_sauvees_stat_2023;CO2_evite_t_2024;Vies_sauvees_stat_2024
Le Coteau;87726828;42120;DRG AURA BFC;C;Halte;pas de donnees;116162;116162;100209;100209;95659;95659;76485;76485;53349;53349;84195;84195;77133;77133;94117;94117;97436;97436;111711;111711;940.048065;0.0155836845;819.9239399999999;0.013592322;791.9945550000001;0.0131293215;649.0741949999999;0.0107600535;708.500925;0.0117452025;448.93183500000004;0.0074421855;643.621275;0.0106696575;804.9704849999999;0.0133444305;843.258735;0.0139791555;977.50323;0.016204599
Les Ormes;87575118;86220;DRG NLLE AQUITAINE;C;Halte;pas de donnees;6819;6819;5622;5622;5174;5174;3648;3648;2261;2261;2882;2882;2501;2501;2828;2828;2355;2355;3146;3146;26.47359;0.000438867;19.817325;0.0003285225;23.79762;0.000394506;21.045915;0.0003488895;24.252029999999998;0.00040203900000000003;19.026315;0.0003154095;30.69792;0.000508896;43.53921;0.000721773;47.309129999999996;0.000784269;57.381885000000004;0.0009512505
Logelbach;87182345;68124;DRG GRAND EST;C;Halte;pas de donnees;39721;39721;37333;37333;34475;34475;28695;28695;22194;22194;36187;36187;32443;32443;31769;31769;31194;31194;36040;36040;303.2766;0.00502758;262.49751000000003;0.004351563;267.336135;0.0044317755;273.007845;0.0045257985;304.513605;0.0050480865;186.76251000000002;0.003096063;241.468425;0.0040029525;290.107125;0.0048092625;314.157195;0.0052079535;334.25221500000004;0.0055410795
Longages - Noé;87611053;31410;DRG OCCITANIE SUD;C;Halte;pas de donnees;132711;132711;150525;150525;126046;126046;100384;100384;77042;77042;102160;102160;85589;85589;105821;105821;99801;99801;103280;103280;869.1012;0.01440756;839.825415;0.013922239500000001;890.483715;0.014762029500000001;720.231435;0.0119396655;859.6764000000001;0.01425132;648.30843;0.010747359;844.73136;0.014003568000000001;1060.6770900000001;0.017583417;1266.667875;0.0209982375;1116.7630649999999;0.0185131845
Longpré-les-Corps-Saints;87313122;80510;DRG HDF-NORMANDIE;B;Proximité;0.2;172036;215045;164696;205870;135919;169899;107984;134980;95828;119785;140421;175526;140244;175305;155214;194017;148203;185253;147432;184290;1240.64028;0.020566764;1247.128245;0.0206743185;1306.12581;0.021652353;1180.15326;0.019564038;1181.6427150000002;0.0195887295;806.39262;0.013368006;908.68536;0.015063768;1143.758385;0.0189607005;1385.91684;0.022975092;1447.68294;0.023999022000000002
Louvroil;87295535;59720;DRG HDF-NORMANDIE;C;Halte;pas de donnees;4012;4012;3612;3612;2460;2460;1683;1683;2513;2513;4365;4365;3192;3192;3810;3810;4065;4065;4706;4706;39.600989999999996;0.000656487;34.206975;0.0005670675;32.061150000000005;0.000531495;26.86068;0.000445284;36.731474999999996;0.0006089175;21.146895;0.0003505635;14.162445;0.0002347785;20.7009;0.00034317;30.39498;0.000503874;33.76098;0.000559674
Ludon-Médoc;87581181;33290;DRG NLLE AQUITAINE;C;Halte;pas de donnees;78376;78376;72288;72288;60311;60311;49986;49986;37832;37832;44365;44365;37270;37270;31621;31621;19439;19439;26090;26090;219.54735;0.003639555;163.579185;0.0027117405;266.09071500000005;0.0044111295;313.62705;0.005199165;373.33147499999995;0.0061889175;318.35628;0.005277564;420.63219;0.0069730470000000004;507.517065;0.008413384500000001;608.30352;0.010084176;659.53404;0.010933452
Machecoul;87481366;44270;DRG B-CVL-PDL;C;Halte;pas de donnees;116298;116298;111610;111610;96863;96863;71593;71593;54369;54369;79509;79509;66000;66000;68551;68551;61895;61895;48422;48422;407.47113;0.006754869;520.846425;0.0086343525;576.856665;0.0095628645;555.39;0.009207;669.068235;0.0110915055;457.515135;0.0075844755;602.455095;0.0099872235;815.1021450000001;0.0135123885;939.19815;0.015569595;978.6476700000001;0.016223571
Mandelieu-la-Napoule;87757591;6210;DRG OCCITANIE SUD;C;Proximité;pas de donnees;155658;155658;151857;151857;131714;131714;91651;91651;67170;67170;121386;121386;100620;100620;140646;140646;119908;119908;133909;133909;1126.844235;0.0186803055;1009.02582;0.016727166;1183.53609;0.019620117;846.7173;0.01403649;1021.4631899999999;0.016933347;565.2355500000001;0.009370215;771.2431650000001;0.0127853145;1108.37331;0.018374103;1277.876655;0.0211840515;1309.8620700000001;0.021714291
Marle sur Serre;87296095;2250;DRG HDF-NORMANDIE;C;Proximité;pas de donnees;65128;65128;71908;71908;66223;66223;48857;48857;44179;44179;51637;51637;49286;49286;53603;53603;53784;53784;56228;56228;473.15862;0.007843806;452.59236;0.007502868;451.069245;0.0074776185;414.74169;0.006875397;434.525355;0.0072033615;371.766285;0.0061629705;411.131655;0.0068155515;557.2665450000001;0.0092381085;605.10582;0.010031166;548.05212;0.009085356
Massiac - Blesle;87734871;15500;DRG AURA BFC;C;Proximité;pas de donnees;24031;24031;26604;26604;35514;35514;32339;32339;24066;24066;30084;30084;29593;29593;31636;31636;30153;30153;36218;36218;304.77446999999995;0.005052411;253.737495;0.0042063435;266.21694;0.0044132220000000005;249.025095;0.0041282235;253.15686;0.004196718;202.51539000000002;0.003357207;272.132685;0.0045112905;298.85031;0.004954203;223.87266;0.0037112580000000003;202.220865;0.0033523245
Maurs;87645168;15400;DRG AURA BFC;C;Proximité;pas de donnees;11553;11553;11078;11078;10054;10054;7095;7095;3962;3962;7724;7724;11296;11296;12471;12471;11859;11859;12099;12099;101.813085;0.0016878105;99.793485;0.0016543305;104.943465;0.0017397045;95.05584;0.0015757920000000001;64.99746;0.001077498;33.340230000000005;0.000552699;59.704425;0.0009897525;84.60441;0.001402533;93.22137;0.001545381;97.21849499999999;0.0016116435
Mehun-sur-Yèvre;87576116;18500;DRG B-CVL-PDL;C;Proximité;pas de donnees;105160;105160;92551;92551;82908;82908;48108;48108;29672;29672;46896;46896;45373;45373;51129;51129;50612;50612;62482;62482;525.78603;0.008716239;425.89997999999997;0.007060374;430.25053499999996;0.0071324955;381.81379499999997;0.0063295335;394.62984;0.006541992;249.68988000000002;0.004139244;404.82882;0.006711066;697.6708199999999;0.011565666;778.8166650000001;0.0129108645;884.9214000000001;0.01466982
Meudon Val Fleury;87393082;92190;DEX GIF;B;IDF;pas de donnees;2803049;2803049;2542156;2542156;2389874;2389874;1323040;1323040;1222423;1222423;2893671;2893671;2940191;2940191;2996579;2996579;2998119;2998119;2982684;2982684;25099.28586;0.416084418;25229.171385;0.41823760050000003;25216.212285;0.41802277050000003;24741.707265;0.4101566445;24350.241465;0.4036671045;10286.689545;0.1705280085;11133.381599999999;0.18456408;20110.78971;0.333387423;21392.242739999998;0.354630762;23587.657335;0.3910253355
Meymac;87594275;19250;DRG NLLE AQUITAINE;C;Proximité;pas de donnees;38110;38110;30977;30977;26518;26518;18401;18401;15341;15341;21029;21029;17328;17328;18350;18350;18281;18281;21825;21825;183.657375;0.0030445875000000002;153.83461499999999;0.0025501995;154.41525;0.002559825;145.81512;0.002417256;176.959035;0.0029335455000000002;129.094515;0.0021400695;154.844415;0.0025669395;223.14897;0.003699261;260.671455;0.0043212915;320.69565;0.005316345
Miniac-Morvan;87478131;35540;DRG B-CVL-PDL;C;Halte;pas de donnees;1676;1676;1338;1338;1106;1106;262;262;17;17;436;436;371;371;163;163;916;916;1223;1223;10.291545;0.0001706085;7.70814;0.000127782;1.371645;2.27385e-05;3.1219650000000003;5.17545e-05;3.66894;6.0822e-05;0.14305500000000002;2.3715e-06;2.20473;3.6549e-05;9.306989999999999;0.000154287;11.25927;0.000186651;14.10354;0.000233802
Modane;87742007;73500;DRG AURA BFC;B;Proximité;0.1560402684563759;122917;145643;206237;244368;216671;256731;193963;229826;163718;193988;205104;243026;205051;242963;214537;254203;194357;230291;195519;231669;1645.292385;0.0272749005;1635.514155;0.027112801500000002;1805.328855;0.0299279115;1725.504165;0.0286046145;1725.9501599999999;0.028612008;1377.68697;0.022838661;1632.198645;0.0270578385;1823.2864650000001;0.0302256045;1735.484355;0.0287700615;1034.346555;0.0171469215
Monistrol-d'Allier;87734335;43580;DRG AURA BFC;C;Halte;pas de donnees;1970;1970;2612;2612;2661;2661;2214;2214;1472;1472;1776;1776;1382;1382;1960;1960;1617;1617;470;470;3.9550500000000004;6.5565e-05;13.607055;0.0002255715;16.4934;0.00027342;11.62953;0.00019278900000000001;14.94504;0.000247752;12.38688;0.000205344;18.63081;0.000308853;22.392315;0.0003712095;21.97998;0.000364374;16.57755;0.00027481500000000003
