Nom de la gare;Code UIC;Code postal;Direction Régionale Gares;Segmentation DRG;Segmentation Marketing;% Non Voyageurs;Total Voyageurs 2024;Total Voyageurs + Non voyageurs 2024;Total Voyageurs 2023;Total Voyageurs + Non voyageurs 2023;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015;CO2_evite_t_2015;Vies_sauvees_stat_2015;CO2_evite_t_2016;Vies_sauvees_stat_2016;CO2_evite_t_2017;Vies_sauvees_stat_2017;CO2_evite_t_2018;Vies_sauvees_stat_2018;CO2_evite_t_2019;Vies_sauvees_stat_2019;CO2_evite_t_2020;Vies_sauvees_stat_2020;CO2_evite_t_2021;Vies_sauvees_stat_2021;CO2_evite_t_2022;Vies_sauvees_stat_2022;CO2_evite_t_2023;Vies_sauvees_stat_2023;CO2_evite_t_2024;Vies_sauvees_stat_2024
Les Coquetiers;87113845;93250;DEX GIF;B;IDF;pas de donnees;1386734;1386734;1257508;1257508;1181755;1181755;946919;946919;1618216;1618216;1049625;1049625;1064397;1064397;1072490;1072490;1063744;1063744;1050903;1050903;8843.348745;0.1466009685;8951.40576;0.148392288;9025.003349999999;0.149612355;8956.900755;0.1484833815;8832.594375;0.1464226875;13617.28764;0.225741132;7968.323385;0.1320952005;9944.468325;0.1648548225;10581.929820000001;0.175422366;11669.36661;0.193449393
Les Eyzies-de-Tayac-Sireuil;87595736;24620;DRG NLLE AQUITAINE;C;Proximité;pas de donnees;19660;19660;19771;19771;18117;18117;12349;12349;10521;10521;20871;20871;17280;17280;21489;21489;22584;22584;21824;21824;183.64896;0.003044448;190.04435999999998;0.003150468;180.829935;0.0029977155;145.4112;0.00241056;175.629465;0.0029115045000000003;88.534215;0.0014676795000000001;103.916835;0.0017226855;152.454555;0.0025273215;166.372965;0.0027580545;165.4389;0.00274257
Libercourt;87345256;62820;DRG HDF-NORMANDIE;B;Proximité;0.2;964100;1205125;886480;1108100;774844;968555;599534;749418;550226;687783;839687;1049609;771411;964264;784942;981178;764323;955404;784994;981243;6605.72451;0.109506663;6431.778045;0.1066230585;6605.286929999999;0.109499409;6491.423565;0.1076118345;7065.966105;0.11713633650000001;4630.15179;0.076756527;5045.0786100000005;0.083634993;6520.31226;0.108090738;7459.7292;0.12366396;8112.9015;0.13449195
Lille Europe;87223263;59777;DRG HDF-NORMANDIE;A;Hub;0.37;6642464;10543594;6721133;10668465;6056899;9614126;4337868;6885505;3303176;5243137;7754675;12309007;7696028;12215918;8314520;13197651;7780562;12350098;7846574;12454880;66028.92021;1.094597073;65473.429229999994;1.085388399;69966.68579999999;1.15987554;64762.075619999996;1.073595906;65255.590125;1.0817771625000001;27796.226039999998;0.460793052;36503.15922;0.605132586;50968.805085;0.8449374105;56558.334195;0.9375980535;55896.33456;0.926623728
L'Isle-sur-le-Doubs;87184572;25250;DRG AURA BFC;C;Halte;pas de donnees;132116;132116;125662;125662;123373;123373;96931;96931;86730;86730;106385;106385;87144;87144;89119;89119;83533;83533;92421;92421;777.722715;0.0128927295;702.9301949999999;0.011652853500000001;749.936385;0.0124321005;733.31676;0.012156588;895.229775;0.0148407075;729.83295;0.012098835;815.674365;0.0135218745;1038.1837950000001;0.0172105335;1057.44573;0.017529849;1111.75614;0.018430182
Loos lez Lille;87286112;59120;DRG HDF-NORMANDIE;C;Proximité;pas de donnees;57811;57811;47194;47194;42385;42385;30951;30951;24225;24225;40088;40088;28581;28581;29733;29733;27143;27143;28504;28504;239.86116;0.0039763080000000004;228.408345;0.0037864485;250.203195;0.0041477535;240.50911499999998;0.0039870495;337.34052;0.005592276;203.853375;0.0033793875;260.452665;0.0043176645;356.669775;0.0059127075;397.13751;0.006583563;486.479565;0.0080646345
Louvres;87276253;95380;DEX GIF;B;IDF;pas de donnees;2420732;2420732;1980516;1980516;1860250;1860250;3739057;3739057;919807;919807;2253078;2253078;2235303;2235303;2232729;2232729;2183957;2183957;2127635;2127635;17904.048525;0.2968050825;18377.998155;0.3046620015;18788.414535;0.31146569550000003;18810.074745;0.3118247685;18959.65137;0.314304381;7740.175905;0.1283130765;31464.164655;0.5215984515000001;15654.00375;0.259504875;16666.04214;0.276281982;20370.45978;0.337692114
Ludres;87141481;54710;DRG GRAND EST;C;Halte;pas de donnees;30115;30115;24159;24159;21795;21795;16503;16503;14306;14306;22919;22919;17438;17438;16244;16244;15686;15686;15639;15639;131.602185;0.0021816405;131.99769;0.0021881970000000002;136.69326;0.002266038;146.74077;0.002432601;192.86338500000002;0.0031972005;120.38499;0.001995687;138.872745;0.0023021685;183.404925;0.0030404025;203.29798499999998;0.0033701805;253.41772500000002;0.0042010425
Maizières-lès-Metz;87191106;57210;DRG GRAND EST;B;Halte;0.03;341339;351896;323371;333372;266195;274428;177405;182892;145265;149758;233235;240448;216656;223356;243032;250548;236360;243670;247054;254695;2078.95941;0.034464033;1988.9694;0.032972220000000003;2045.11428;0.033902964;1823.16024;0.030223512;1962.672525;0.0325362825;1222.4049750000001;0.0202644675;1492.863075;0.0247479975;2240.030925;0.0371342025;2721.166965;0.0451102545;2872.367685;0.0476167905
Mareil-Marly;87733667;78750;DEX GIF;C;IDF;pas de donnees;377465;377465;295228;295228;139813;139813;pas de donnees;pas de donnees;pas de donnees;pas de donnees;53506;53506;58655;58655;64132;64132;69257;69257;74243;74243;624.7548449999999;0.0103568985;582.7976550000001;0.0096613515;539.67078;0.008946414;493.58182500000004;0.0081823725;450.25299;0.007464087;pas de donnees;pas de donnees;pas de donnees;pas de donnees;1176.526395;0.0195039135;2484.34362;0.041184306000000004;3176.367975;0.0526563675
Marne-la-Vallée Chessy;87111849;77700;ETAB GARES PARIS;A;LGV;0.0381679389312976;4448487;4625014;4319252;4490651;4641120;4825292;3312209;3443646;2492919;2591844;5432886;5648477;5996489;6234445;6009276;6247740;5418784;5633816;5443822;5659847;45809.76213;0.759413169;45599.06736;0.7559203680000001;50568.05754;0.838294002;50460.454935;0.8365102155;45717.735689999994;0.757887597;20977.913385;0.3477622005;27872.238735;0.46205315550000003;39055.0248;0.64743624;36346.50558;0.602535654;37434.018104999996;0.6205639365
Mayet;87396580;72360;DRG B-CVL-PDL;C;Halte;pas de donnees;29235;29235;27067;27067;23316;23316;19727;19727;16029;16029;33455;33455;36665;36665;33544;33544;34907;34907;35328;35328;297.28512;0.004928256;293.742405;0.0048695265000000005;282.27276;0.0046793880000000005;308.53597499999995;0.0051147675;281.523825;0.0046669725;134.884035;0.0022360455;166.002705;0.0027519165000000003;196.20414000000002;0.003252582;227.768805;0.0037758465;246.01252499999998;0.0040782825
Mézidon-Canon;87444208;14270;DRG HDF-NORMANDIE;B;Halte;0.0299999999999999;359744;370870;356499;367525;318511;328362;249184;256890;210231;216733;298881;308124;273594;282056;309501;319073;310601;320207;318023;327859;2676.163545;0.0443642085;2613.707415;0.0433288395;2604.450915;0.0431753895;2302.29351;0.038166363;2515.083615;0.0416938995;1769.093865;0.029327224500000002;2096.8833600000003;0.034761168;2680.270065;0.0444322845;2999.939085;0.0497316105;3027.24576;0.050184288
Millau;87783001;12100;DRG OCCITANIE SUD;C;Proximité;pas de donnees;38857;38857;45133;45133;38166;38166;30413;30413;30177;30177;40223;40223;50825;50825;70869;70869;71789;71789;80605;80605;678.291075;0.0112443975;604.1044350000001;0.0100145655;596.362635;0.0098862255;427.692375;0.0070900875;338.476545;0.0056111085;253.93945499999998;0.0042096915;255.92539499999998;0.0042426135;321.16689;0.005324157;379.794195;0.0062960535;326.98165500000005;0.0054205515
Montrabé;87611848;31850;DRG OCCITANIE SUD;C;Halte;pas de donnees;46274;46274;49370;49370;45468;45468;39009;39009;34704;34704;40745;40745;36713;36713;47958;47958;44147;44147;47262;47262;397.70973;0.006593049;371.497005;0.0061585065;403.56657;0.006690141;308.93989500000004;0.0051214635;342.869175;0.0056839275;292.03416;0.0048412080000000005;328.260735;0.0054417555;382.61321999999996;0.006342786;415.44855;0.006887115;389.39571;0.006455223
Moreuil;87313320;80110;DRG HDF-NORMANDIE;B;Proximité;0.1999999999999999;246328;307910;212537;265671;188341;235426;150176;187721;120466;150582;153728;192160;143660;179575;137375;171719;141593;176991;146451;183064;1232.3851650000001;0.0204299145;1191.505095;0.0197522235;1156.010625;0.019163812500000002;1208.8989;0.02004057;1293.62112;0.021445056;1013.72139;0.016805007;1263.7310400000001;0.020949552;1584.8895149999998;0.0262735695;1788.498855;0.0296489115;2072.85012;0.034362756
Morvillars;87184424;90120;DRG AURA BFC;C;Halte;pas de donnees;13548;13548;9622;9622;9808;9808;7125;7125;5663;5663;5243;5243;138;138;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;1.16127;1.9251e-05;44.119845;0.0007313985;47.654145;0.0007899885;59.956875;0.0009939375;82.53432000000001;0.001368216;80.96913;0.001342269;114.00641999999999;0.001889946
Mulhouse Dornach;87182055;68200;DRG GRAND EST;B;Halte;0.2;253994;317492;234086;292607;186927;233659;141991;177488;118983;148729;183583;229479;168440;210550;174344;217930;167823;209778;174714;218393;1470.21831;0.024372603;1412.230545;0.023411308500000002;1467.10476;0.024320988;1417.4226;0.023497380000000002;1544.8509450000001;0.0256098285;1001.241945;0.0165981285;1194.854265;0.019807744500000002;1572.9907050000002;0.026076316500000002;1969.83369;0.032654997;2137.35951;0.035432163
Nançois - Tronville;87175067;55500;DRG GRAND EST;C;Halte;pas de donnees;1216;1216;1288;1288;1191;1191;891;891;664;664;866;866;858;858;892;892;855;855;1434;1434;12.067110000000001;0.000200043;7.194825;0.0001192725;7.5061800000000005;0.000124434;7.22007;0.000119691;7.28739;0.000120807;5.587560000000001;9.2628e-05;7.497765;0.0001242945;10.022264999999999;0.0001661445;10.83852;0.000179676;10.23264;0.000169632
Nantiat;87592444;87140;DRG NLLE AQUITAINE;C;Halte;pas de donnees;24186;24186;19639;19639;18794;18794;14954;14954;13508;13508;16700;16700;14570;14570;18904;18904;19632;19632;19161;19161;161.239815;0.0026729595;165.20328;0.002738664;159.07716;0.002637108;122.60655;0.002032515;140.5305;0.00232965;113.66982;0.001884366;125.83791000000001;0.002086083;158.15151;0.002621763;165.262185;0.0027396405;203.52519;0.003373947
Nérondes;87576454;18350;DRG B-CVL-PDL;C;Halte;pas de donnees;38605;38605;33743;33743;32042;32042;22127;22127;17334;17334;20245;20245;16909;16909;17891;17891;20498;20498;22791;22791;191.78626500000001;0.0031793445;172.49067000000002;0.002859471;150.55276500000002;0.0024957945;142.289235;0.0023588055;170.361675;0.0028241775;145.86560999999998;0.002418093;186.198705;0.0030867165;269.63343;0.004469859;283.947345;0.0047071485;324.861075;0.0053853975
Niort;87485300;79000;DRG NLLE AQUITAINE;A;Ville;0.2;1394556;1743195;1482134;1852668;1320394;1650493;1076078;1345097;805350;1006688;1233309;1541637;1166545;1458181;1255491;1569364;1269730;1587163;1234566;1543207;10388.87289;0.172221957;10684.77795;0.177127335;10564.956765;0.1751409945;9816.476175000002;0.16273302750000002;10378.295235;0.1720466055;6777.02025;0.112346325;9055.19637;0.150112881;11111.11551;0.184194963;12472.15761;0.206757693;11735.18874;0.194540562
Nogent-sur-Vernisson;87684274;45290;DRG B-CVL-PDL;C;Proximité;pas de donnees;89229;89229;77468;77468;67132;67132;51534;51534;33275;33275;48845;48845;43458;43458;45666;45666;46067;46067;44440;44440;373.96259999999995;0.00619938;387.653805;0.0064263465;384.27939000000003;0.006370407;365.69907;0.006062391;411.030675;0.0068138775;280.009125;0.0046418625;433.65861;0.007188993;564.91578;0.009364914;651.8932199999999;0.010806786;750.862035;0.0124474455
Nointel - Mours;87276758;95590;DEX GIF;B;IDF;pas de donnees;427226;427226;387335;387335;377139;377139;351212;351212;207757;207757;430630;430630;421212;421212;408289;408289;403564;403564;397988;397988;3349.06902;0.055519326;3395.99106;0.056297178;3435.7519350000002;0.0569563155;3544.49898;0.058759074;3623.75145;0.060072885;1748.275155;0.0289821015;2955.44898;0.048994074;3173.624685;0.0526108905;3259.424025;0.0540332325;3595.10679;0.059598027
Onville;87192435;54890;DRG GRAND EST;C;Halte;pas de donnees;11644;11644;12660;12660;10059;10059;6746;6746;4173;4173;5287;5287;5740;5740;8123;8123;8982;8982;11298;11298;95.07267;0.001576071;75.58353;0.001252989;68.355045;0.0011331585;48.302099999999996;0.00080073;44.490105;0.0007375365;35.115795;0.0005821335;56.76759;0.000941067;84.646485;0.0014032305;106.53389999999999;0.00176607;97.98425999999999;0.0016243380000000001
Pomas;87615146;11250;DRG OCCITANIE SUD;C;Halte;pas de donnees;1401;1401;1016;1016;1169;1169;853;853;642;642;882;882;130;130;324;324;1138;1138;4264;4264;35.88156;0.000594828;9.576270000000001;0.000158751;2.72646;4.5198e-05;1.09395;1.8135000000000002e-05;7.4220299999999995;0.000123039;5.402430000000001;8.9559e-05;7.177995;0.0001189935;9.837135;0.0001630755;8.54964;0.000141732;11.789415000000002;0.0001954395
Pompadour;87594663;19410;DRG NLLE AQUITAINE;C;pas de donnees;pas de donnees;2;2;474;474;1790;1790;1762;1762;843;843;1816;1816;3018;3018;7890;7890;8892;8892;10996;10996;92.53134;0.001533942;74.82618;0.0012404340000000001;66.39435;0.001100655;25.39647;0.000421011;15.28164;0.000253332;7.093845;0.0001175985;14.82723;0.000245799;15.062850000000001;0.000249705;3.98871;6.6123e-05;0.016829999999999998;2.79e-07
Pont-l'Évêque;87444349;14130;DRG HDF-NORMANDIE;C;Proximité;pas de donnees;164885;164885;143454;143454;123946;123946;87836;87836;70343;70343;112346;112346;94065;94065;114777;114777;111152;111152;113202;113202;952.59483;0.015791679;935.34408;0.015505704;965.848455;0.0160113915;791.556975;0.013122067500000001;945.39159;0.015672267;591.936345;0.0098128485;739.1399399999999;0.012253122;1043.00559;0.017290467;1207.1654099999998;0.020011833;1387.507275;0.0230014575
Pont-Melvez;87473520;22390;DRG B-CVL-PDL;C;Halte;pas de donnees;4506;4506;5285;5285;6315;6315;6423;6423;5599;5599;5800;5800;3372;3372;2755;2755;3634;3634;3649;3649;30.706335;0.0005090355;30.58011;0.000506943;23.183325;0.0003843225;28.37538;0.000470394;48.807;0.0008091;47.115584999999996;0.0007810605;54.049544999999995;0.0008960085000000001;53.140724999999996;0.0008809425;44.473275;0.0007372575;37.917989999999996;0.000628587
Pouxeux;87144428;88550;DRG GRAND EST;C;Halte;pas de donnees;23203;23203;24513;24513;21986;21986;14666;14666;10604;10604;13399;13399;10635;10635;12728;12728;7487;7487;5278;5278;44.414370000000005;0.000736281;63.003105000000005;0.0010444365;107.10611999999999;0.001775556;89.49352499999999;0.0014835825;112.75258500000001;0.0018691605;89.23266000000001;0.001479258;123.41439;0.002045907;185.01219;0.0030670470000000003;206.276895;0.0034195635;195.253245;0.0032368185
Quillan;87615260;11500;DRG OCCITANIE SUD;C;pas de donnees;pas de donnees;37006;37006;36728;36728;35958;35958;33294;33294;28039;28039;10767;10767;9141;9141;10240;10240;9974;9974;12199;12199;102.65458500000001;0.0017017605;83.93121000000001;0.001391373;86.1696;0.00142848;76.921515;0.0012751695;90.604305;0.0015019965;235.948185;0.0039114405;280.16901;0.004644513;302.58657;0.005016141;309.06612;0.0051235560000000005;311.40549;0.005162337
Quimperlé;87476317;29300;DRG B-CVL-PDL;B;Proximité;0.2099999999999999;503306;637096;446178;564783;409857;518806;301917;382174;225485;285425;300957;380958;269283;340864;282545;357652;266565;337424;277708;351529;2336.91282;0.038740266;2243.144475;0.0371858175;2377.6161749999997;0.0394150275;2266.0164449999997;0.0375649785;2532.5531549999996;0.0419835015;1897.456275;0.0314551575;2540.6315550000004;0.0421174215;3448.9466549999997;0.057175051500000004;3754.5878700000003;0.062241831000000004;4235.31999;0.070211187
Razac-sur-l'Isle;87595223;24430;DRG NLLE AQUITAINE;C;Halte;pas de donnees;45077;45077;26425;26425;9118;9118;4100;4100;3803;3803;5446;5446;2851;2851;3667;3667;4646;4646;6424;6424;54.05796;0.000896148;39.09609;0.000648117;30.857805;0.0005115465;23.991165000000002;0.00039771450000000003;45.828089999999996;0.000759717;32.002245;0.0005305185;34.5015;0.00057195;76.72797;0.001271961;222.366375;0.0036862875;379.32295500000004;0.0062882415
Recquignies;87295022;59245;DRG HDF-NORMANDIE;C;Halte;pas de donnees;2823;2823;2332;2332;1964;1964;967;967;2692;2692;7083;7083;6514;6514;7499;7499;7502;7502;8064;8064;67.85856;0.001124928;63.12933;0.001046529;63.104085;0.0010461105;54.81531;0.000908703;59.603445;0.0009880785;22.65318;0.000375534;8.137305;0.0001348965;16.527060000000002;0.000273978;19.62378;0.000325314;23.755544999999998;0.0003938085
Remiremont;87144451;88200;DRG GRAND EST;B;Proximité;0.1999999999999999;360999;451249;363176;453970;319312;399140;222601;278252;170067;212584;272473;340591;242731;303414;263246;329057;250668;313336;266804;333505;2245.1556600000004;0.037219158;2109.37122;0.034968186;2215.2150899999997;0.036722817;2042.581365;0.0338609745;2292.860295;0.038009983500000004;1431.113805;0.0237243465;1873.187415;0.031052839500000002;2687.01048;0.044544024;3056.12604;0.050663052;3037.806585;0.0503593605
Rochy-Condé;87313601;60510;DRG HDF-NORMANDIE;C;Proximité;pas de donnees;10598;10598;10804;10804;6234;6234;3828;3828;3031;3031;4026;4026;4373;4373;4082;4082;3196;3196;2779;2779;23.385285;0.0003876705;26.89434;0.000445842;34.35003;0.000569439;36.798795;0.0006100335;33.87879;0.000561627;25.505865;0.0004228245;32.21262;0.000534006;52.45911;0.000869643;90.91566;0.001507158;89.18217;0.001478421
Sainte-Geneviève-des-Bois;87545210;91700;DEX GIF;B;IDF;pas de donnees;3891084;3891084;3528463;3528463;3315717;3315717;2657248;2657248;1757976;1757976;4014188;4014188;4057666;4057666;4118094;4118094;4093512;4093512;4054279;4054279;34116.757784999994;0.5655719205;34446.90347999999;0.571044924;34653.761009999995;0.5744741130000001;34145.25939;0.566044407;33779.39202000001;0.559979226;14793.36804;0.245237652;22360.74192;0.370686096;27901.758555;0.4625425215;29692.016144999998;0.4922205885;32743.471859999998;0.5428062180000001
Saint-Germain-en-Laye Bel-Air - Fourqueux;87733675;78100;DEX GIF;pas de donnees;IDF;pas de donnees;882705;882705;800369;800369;378967;378967;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;3189.007305;0.0528658965;6735.105135;0.1116514755;7427.9625750000005;0.12313734750000001
Saint-Laurent-de-la-Prée - Fouras;87485136;17450;DRG NLLE AQUITAINE;C;Halte;pas de donnees;47948;47948;39834;39834;39829;39829;25188;25188;22090;22090;33925;33925;27653;27653;37600;37600;32003;32003;31888;31888;268.33752000000004;0.004448376;269.305245;0.0044644185;316.404;0.0052452;232.699995;0.0038575935;285.478875;0.0047325375;185.88735;0.003081555;211.95702;0.003513726;335.16103499999997;0.0055561455;335.20311;0.005556843;403.48242;0.006688746
Saint-Léon-sur-l'Isle;87595264;24110;DRG NLLE AQUITAINE;C;Halte;pas de donnees;25578;25578;23551;23551;19074;19074;18035;18035;16347;16347;16631;16631;15292;15292;16445;16445;15771;15771;16999;16999;143.046585;0.0023713605;132.712965;0.0022000545;138.384675;0.0022940775;128.68218;0.002133234;139.949865;0.0023200245;137.56000500000002;0.0022804065;151.764525;0.0025158825;160.50771;0.002660823;198.181665;0.0032853645;215.23887;0.003568131
Saint-Ouen-l'Aumône;87276105;95310;DEX GIF;B;IDF;pas de donnees;2052836;2052836;1860521;1860521;1826988;1826988;1588019;1588019;815623;815623;1981424;1981424;1968878;1968878;1946678;1946678;1887874;1887874;1828723;1828723;15388.704045;0.2551068585;15886.45971;0.263358423;16381.29537;0.271561581;16568.108369999998;0.274658481;16673.68296;0.276408648;6863.4675449999995;0.1137794085;13363.179885;0.2215286505;15374.104019999999;0.254864826;15656.284215;0.2595426795;17274.614940000003;0.286370622
Saint-Sébastien Pas Enchantés;87354589;44230;DRG B-CVL-PDL;C;Halte;pas de donnees;53105;53105;46149;46149;36316;36316;24053;24053;18327;18327;30198;30198;31292;31292;31559;31559;30728;30728;25589;25589;215.331435;0.0035696655000000002;258.57612;0.004286556;265.568985;0.0044024805;263.32218;0.004365234;254.11617;0.004212621;154.221705;0.0025566165;202.405995;0.0033553935;305.59914000000003;0.005066082;388.343835;0.0064377855;446.878575;0.0074081475
Sallanches - Combloux - Megève;87746438;74700;DRG AURA BFC;B;Proximité;0.0899999999999999;391614;430345;366452;402695;358306;393743;298518;328041;264387;290535;347272;381617;311327;342118;329130;361681;309005;339566;307792;338233;2590.06968;0.042936984;2600.277075;0.0431061975;2769.6289500000003;0.045913635;2619.816705;0.0434301165;2922.2938799999997;0.048444444;2224.816605;0.0368819865;2512.0289700000003;0.041643261;3015.1449900000002;0.049983687;3083.69358;0.051120054;3295.43181;0.054630153
Salses-le-Château;87784157;66600;DRG OCCITANIE SUD;C;Halte;pas de donnees;39128;39128;44852;44852;39917;39917;27822;27822;15374;15374;17568;17568;12473;12473;14103;14103;11846;11846;12810;12810;107.79615;0.001786995;99.68409;0.001652517;118.676745;0.0019673685;104.960295;0.0017399835;147.83472;0.0024507360000000002;129.37221;0.002144673;234.12213;0.003881169;335.901555;0.0055684215;377.42958000000004;0.006256854;329.26212;0.005458356
Sauveterre-la-Lémance;87586495;47500;DRG NLLE AQUITAINE;C;Halte;pas de donnees;1069;1069;890;890;1446;1446;835;835;826;826;1405;1405;964;964;943;943;764;764;882;882;7.4220299999999995;0.000123039;6.429060000000001;0.000106578;7.935345;0.0001315485;8.11206;0.000134478;11.823075000000001;0.0001959975;6.95079;0.000115227;7.0265249999999995;0.00011648250000000001;12.16809;0.000201717;7.48935;0.000124155;8.995635;0.00014912550000000001
Schwindratzheim;87212159;67270;DRG GRAND EST;C;Halte;pas de donnees;100181;100181;86652;86652;79794;79794;67825;67825;56972;56972;77435;77435;80721;80721;83536;83536;74839;74839;67383;67383;567.0279449999999;0.0093999285;629.7701850000001;0.0104400405;702.95544;0.011653272000000001;679.267215;0.0112605795;651.615525;0.0108021825;479.41938;0.007947594;570.747375;0.0094615875;671.46651;0.011131263;729.17658;0.012087954;843.023115;0.0139752495
Serdinya;87784702;66360;DRG OCCITANIE SUD;C;Halte;pas de donnees;336;336;330;330;418;418;340;340;151;151;142;142;38;38;80;80;48;48;117;117;0.984555;1.63215e-05;0.40392;6.696e-06;0.6732;1.116e-05;0.31977;5.301e-06;1.19493;1.9809e-05;1.270665;2.10645e-05;2.8611;4.743e-05;3.51747;5.8311e-05;2.77695;4.6035e-05;2.82744;4.6872e-05
Servas - Lent;87723791;1960;DRG AURA BFC;C;Halte;pas de donnees;84262;84262;72041;72041;65465;65465;56746;56746;47446;47446;66259;66259;67559;67559;75840;75840;71460;71460;72225;72225;607.773375;0.0100753875;601.3359;0.00996867;638.1936;0.010579680000000001;568.5089849999999;0.0094244805;557.569485;0.0092431305;399.25809000000004;0.0066187170000000005;477.51759000000004;0.007916067;550.887975;0.0091323675;606.225015;0.0100497195;709.0647299999999;0.011754549
Sospel;87756825;6380;DRG OCCITANIE SUD;C;Proximité;pas de donnees;54330;54330;59023;59023;45712;45712;24291;24291;28644;28644;57160;57160;52227;52227;56821;56821;50748;50748;46369;46369;390.195135;0.0064684755;427.04442;0.007079346;478.14871500000004;0.0079265295;439.490205;0.0072856665;481.00140000000005;0.00797382;241.03926;0.003995838;204.40876500000002;0.0033885945;384.66648;0.006376824;496.678545;0.0082337085;457.18695;0.0075790350000000005
Steinbourg;87212209;67790;DRG GRAND EST;C;Halte;pas de donnees;30170;30170;25742;25742;21947;21947;47457;47457;62913;62913;61815;61815;62493;62493;67964;67964;75710;75710;78504;78504;660.61116;0.010951308;637.09965;0.010561545;571.9170600000001;0.009480978;525.878595;0.0087177735;520.173225;0.0086231925;529.412895;0.0087763635;399.350655;0.0066202515;184.684005;0.0030616065;216.61893;0.003591009;253.88055;0.004208715
Thenissey;87713099;21150;DRG AURA BFC;C;Halte;pas de donnees;4804;4804;3477;3477;3923;3923;2697;2697;3006;3006;5014;5014;5561;5561;5167;5167;6434;6434;7543;7543;63.474345;0.0010522485;54.14211;0.000897543;43.480305;0.0007207965000000001;46.795815000000005;0.0007757595000000001;42.192809999999994;0.000699453;25.29549;0.000419337;22.695255;0.0003762315;33.012045;0.0005472585;29.258955;0.00048504150000000003;40.42566;0.000670158
Valdahon;87718544;25800;DRG AURA BFC;B;Proximité;0.1999999999999999;155474;194342;209409;261762;210288;262860;147080;183850;154754;193443;172111;215139;150733;188417;173004;216255;151751;189689;158883;198603;1337.0004450000001;0.0221641785;1276.984665;0.0211692645;1455.82866;0.024134058;1268.418195;0.0210272535;1448.314065;0.0240094845;1302.2549099999999;0.021588183;1237.6782;0.02051766;1769.57352;0.029335176;1762.176735;0.0292125555;1308.31371;0.021688623
Verneuil-l'Étang;87116079;77390;DEX GIF;B;IDF;pas de donnees;655014;655014;593916;593916;551528;551528;494717;494717;273994;273994;667781;667781;658852;658852;656054;656054;638495;638495;621339;621339;5228.567685;0.0866767905;5372.935425;0.0890700525;5520.69441;0.091519533;5544.23958;0.091909854;5619.377115;0.0931554495;2305.65951;0.038222163;4163.043555;0.06901302150000001;4641.10812;0.07693815600000001;4997.80314;0.082851282;5511.94281;0.09137445300000001
Vierzy;87271783;2210;DRG HDF-NORMANDIE;C;Halte;pas de donnees;951;951;965;965;555;555;246;246;274;274;305;305;160;160;261;261;367;367;941;941;7.918515;0.0001312695;3.0883049999999996;5.1196500000000004e-05;2.1963150000000002;3.64095e-05;1.3464;2.232e-05;2.566575;4.25475e-05;2.30571;3.8223e-05;2.07009;3.4317000000000004e-05;4.670325;7.74225e-05;8.120475;0.0001346175;8.002665;0.0001326645
Virville - Manneville;87413336;76110;DRG HDF-NORMANDIE;C;Halte;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;48;48;2082;2082;2391;2391;3652;3652;5426;5426;45.65979;0.000756927;30.731579999999997;0.000509454;20.120265;0.0003335445;17.52003;0.00029043900000000003;0.40392;6.696e-06;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees
Wittring;87193656;57137;DRG GRAND EST;C;Halte;pas de donnees;2;2;1362;1362;1927;1927;3101;3101;5284;5284;6744;6744;7293;7293;9824;9824;13676;13676;15023;15023;126.418545;0.0020957085;115.08354;0.0019078020000000001;82.66896000000001;0.001370448;61.370595;0.0010173735;56.75076;0.000940788;44.46486;0.000737118;26.094915;0.0004325895;16.215705;0.0002688165;11.461229999999999;0.000189999;0.016829999999999998;2.79e-07
